0,"We were hit with the warning that we needed to upgrade to premier, which surprised us.  I had read the negative reviews but assumed that we didn't need what appeared to be business related tax forms.  However, we have mineral rights that caused the deluxe version hiccup and require the upgrade.  Fortunately, it was a free upgrade for us.

The product itself seems to work as well as in past years, and I have no complaints about thst.

Unfortunately, in the future it will probably force us to use a different product because the cost difference of premier vs deluxe will more than likely be higher than the pitiful royalties we receive.  I'm also greatly concerned about our security using Turbotax given all the filing fraud this year.  Going forward my decision on tax software will be based on security and features, not on established brand.  Hopefully, Intuit will fix the issues and make the right decisions on what is included in the deluxe version in the future."
0,"I understand that there is a tendency to continue producing what a company thinks work. Learning a new language or brushing up on your existing skill is tricky business. I learned a lot of Japanese learning in Japan, but it's not always possible to just go to a country to cement or start your language skills so I picked up the Spanish version. The largest problem I am having the the Instant Immersion series (in general) is they don't seem to update anything. I've used the Japanese version in the past, and got ahold of this Spanish version. The graphics are dated and unattractive. The videos/animation slow and not fluid. This looks like they took the same product they've been peddling for years and updated the installation programs and little else which is unfortunate. I understand a product like this wants to be low profile so it can install on even the oldest computers still running (and many of those old computers are still more than enough for average users), but I just find this method cheap and unappealing. That sounds are still hollow sounding as well and modern day clip-art looks more attractive. The games/learning tools are the same but not expanded. It doesn't look like they added new words or addressed much new material at all.

I still think these are interesting to start with if you don't have an old version. If you do have an old version and can get it to function properly on your current build, pass on these. There just isn't enough new here to justify buying it again."
1,"I already have the Spanish version of Rosetta Stone, but we are planning a trip to Italy (hopefully) this fall, so I jumped on a recent offer to try out the Italian version, too. (Please see my review of the Spanish version, as well.)

I find the software incredibly intuitive to learn and use, and while there's a LOT of review, it definitely drums things into your head. I also like the diversity used in the photos -- OK, sometimes it's a little surprising to have a picture of a man who's clearly Central Asian when you're in the middle of your Italian lesson, but people from all ethnicities speak all different languages in this jet-setting world, so I guess it really shouldn't seem all that unusual!

One relatively minor complaint: Both my husband and I have had some issues with the headset. Sometimes we've found ourselves shouting into it in Italian, trying to get it to pick up our words. Other times, we're positive that we're pronouncing the words correctly, but it doesn't think we are. The one that came with my Spanish set seems to work better than the one that came with the Italian set, for some reason. Considering the cost of the program, a more reliable headset would be nice.

A word about the audio companions -- they're very handy, but they will NOT work on their own. We find them useful mostly for when we're driving and want to practice a bit. I particularly like to use them to keep me from forgetting what I've learned when I haven't had a chance to use the software for a little while."
1,"This is my fourth year using TurboTax Home & Business. I love it. When I first started using it, I found I could use it to fill out city tax form. All the forms I have needed are supplied by TurboTax. It's cheaper than paying a tax preparer. I used an accountant to do my taxes the first year I went into business. I wanted to deduct something that he wouldn't deduct and he deducted something I didn't approve. I didn't realize it until after I filed. He charged me $500. Had I done it myself with TurboTax I could have received a much larger refund and could have saved on the cost of doing my taxes. I think TurboTax is Awesome."
0.5,"At nearly 2.7 GB, this is probably the biggest program I have ever installed. It attempts to be an all-in-one for everything from photo and video editing to managing your music collection and copy-disk abilities.
It actually pulls it off fairly well. While the photo and video editing software do not compare to the Photoshop elements or Premiers Elements, they are pretty decent and for making home movies and the like it is just fine.
The photo editing offers 3D conversion and can create 3D photos from non 3D images and it works. It also offer many other features available on other similar photo-editing software.
The video editing works well, it is not as polished and cosmetically as pleasing as Premier Elements but it does work well, and while making two 30 minute videos, it did not freeze or crash. However, I am using a Surface Pro 3.....Lesser equipped, older or barebones laptops will have trouble with video editing. Note, the packaging recommends 2 GB minimum ram, but for video editing, I suggest at least 4 GB.
It is also handy to convert video, I have re-sized a few clips for emailing and putting on Facebook etc. it works as well as the freebie programs.
The ability to rip a CD is handy (though something I don't do as much anymore because I typically download my music purchases...thus no need to rip)
The drawback is that it is such a huge program and I am thinking of re-installing it without some of the features to slim it down.
You could argue that to instal multiple software programs or Apps that does all that this does would use up the same amount of memory, and that's a good point, however, I do not plan to uninstall my copy of Photoshop Elements any time soon, and could do without the audio parts of the installation. Meantime, I plan to keep it as is.
The Bottom Line..........
This is a really good option for someone that does not have any other photo, video or sharing software installed, it works well on everything it does, but none of its endeavors are ""best-in-class"" but honestly, will suffice for all but the pickiest folks who look for the best at any cost.
If you have trouble with freezing or crashing, it may well be your hardware that is not up to scratch, especially for video editing, which needs to move huge amounts of data to accomplish its tasks, older hardware or lack of memory and low end graphics abilities just won't cut it so please bear this in mind......"
0.5,"Windows Vista has to be one of the most reviled versions of Windows, right up there with Bob and Windows Me.

The first release of Vista probably deserved some of the criticism, but so did those who tried to install it on older machines that just weren't up to the task. Microsoft probably set expectations a little too high, and as what happened with the first Star Wars prequel, the end product was never going to live up to the expectations.

I did not have any experience with Vista until after the release of SP1, so I might have been spared some ugliness that came out of the gates. Since this review is for the SP1 version, I can safely say that you won't experience the pain and agony that was felt by some of those early adopters, IF you install it on decent hardware.

Don't install a current operating system on hardware that was made years before the release of the operating system. Don't install an OS like Vista on a machine that is choked for RAM or hard drive space.

The box says that it recommends a 1 GHz or faster processor, but I wouldn't install it on anything slower than a 3 GHz Pentium 4. It also says that 1GB of RAM is fine. I would say that's a minimum, and anyone doing multiple tasks should be looking at 2GB as a minimum. (You'll need to get the 64-bit version to use anything past 3GB)

Lastly, don't install this OS on a system drive that has meager transfer rates. Something with a minimum average of 50MB/s will probably do just fine, but the faster the better, of course.

You can't buy a Porsche, put no name tires on it, and fill it with 85 octane gas, and expect decent performance. Likewise, don't install a newer operating system on hardware that is years behind the OS in technology. XP is a great OS for older machines. It will run on a P3-450 with a half GB of RAM without any trouble (so long as you're not installing the latest and greatest software that expects more recent hardware).

The bottom line is to use the right tool for the job. Vista SP1 on a decent machine that was new at the time Vista was released is not going to present issues. I wouldn't install it on a low-powered machine, because doing so is just asking for disappointment and frustration."
1,"...and all I can base my review on is my own experience with the product. Yes, I know others had issues related to what schedules they needed, whether they used the 2013 version and the balky response from Intuit.  No review of this version of TurboTax should ignore the extended dust-up at the start of the the 2014 tax return season, when Intuit took a lot of negative press (totally deserved). This is version of TurboTax bore the brunt of that on these pages and in the consumer software media. This was primarily not because of its functionality, but because of the perhaps not-so-obvious-to-customers changes in what schedules were included in this version of TurboTax for 2014 (fewer than in 2013...to the surprise of many purchasers who found these schedules missing).

Three comments about this events:
(1) My tax situation did not expose me to these issues.
(2) Intuit implemented the change in version/pricing structure badly, and further bungled its response (in at least three different ways that I can count).
(3) Yes: had I not received the same functionality that I'd enjoyed the year before, I would have be in the chorus of 1-star reviews for this product and would and bailed for alternative tax software. Since I wasn't, all I can report is how this version --which met my tax filing needs out of the box-- worked for me.

And, I'm happy to report, it worked great.

I've been using TurboTax for a generation, and this year's worked just fine. Installation and updates following the install (on both Windows 7 and Windows 8 machines) have been totally problem free for both federal and two state packages.

After installation, TurboTax recognized the most significant of my prior years' information already in the computer. Both federal and state returns were therefore pre-populated with much of the employer, financial institution and payment data that I would have otherwise had to enter by hand.

I have a relatively simple tax situation am lucky enough to have my deductions in equilibrium. It took about three hours start to finish for TurboTax to complete and efile my federal refund and prepare for tax-day mailing of my state payment.

No hiccups, good error trapping and headache free tax preparation. Modest efforts to upsell other services are present, but are easily declined.

I understand that many Intuit users were upset. They can vote with their feet, and I get it.

However, it performed well for me, continuing to take the sting out of the onerous administration of tax returns. While Intuit deserves what it got from both customers and the media, remember this: the true pain of tax time comes from the governments that collect them and frame your liabilities (for all of earning, savings and spending) and NOT from Intuit).

If you're a tax-time procrastinator: April is right around the corner. Now is the time to select with confidence."
-1,"I looked at purchasing this Router.  However, one has to wonder where these ratings are coming from since some of the reviews, along with the questions folks have asked about the product, do not seem to have anything to do with this product. What's-up Amazon."
0,"My computer exceeds the minimum requirements, I have the following specs:
Operating System
  Windows 7 Professional 32-bit SP1
CPU
  Intel Core 2 Duo E6750 @ 2.66GHz
  Conroe 65nm Technology
RAM
  4.00GB Dual-Channel DDR2 @ 399MHz (6-6-6-18)
Motherboard
  Dell Inc. 0DR845 (CPU)
Graphics
  DELL 1707FP (1280x960@60Hz)
  Intel Q35 Express Chipset Family (Dell)
  Intel Q35 Express Chipset Family (Dell)
Storage
  931GB Hitachi HUA721010KLA330 ATA Device (SATA)
  14GB SanDisk Cruzer Glide USB Device (USB)
  7GB DaneElec MicroUSB USB Device (USB)
  7GB DaneElec MicroUSB USB Device (USB)
  14GB Lexar USB Flash Drive USB Device (USB)
  3GB COBY MP3 Player USB Device (USB)
Optical Drives
  TSSTcorp DVD+-RW TS-H653F ATA Device
Audio
  SoundMAX Integrated Digital HD Audio

However, Fastflick will not launch, and I get a message saying that I would need to upgrade my graphics card in order to use Fastflick.

I can use all of the other functions.
Screen Capture has some very good features, it includes sound capture which is great for creating Youtube videos, I was able to capture sound from my mic or my sound card, and had no trouble getting all of the parts of a group conversation collected and sync to a video I was creating.

Movie maker included a good selection of sound effects, and was much better than Windows Movie Maker, with a wide variety of special effects and screen transition types.

Even though I rate myself as a beginner, not having very much experience with this type of program, I found the interface easy to understand and use.

I think this is a good program and I do plan to upgrade my video card in the future as I would like to be able to use all of the features."
0,"I had originally thought of getting this product for our son who is off to college in the fall.  Right now all of our household computers are hooked into&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Microsoft-Windows-Home-Server-OEM/dp/B000VWW8QQ/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Microsoft Windows Home Server OEM</a>&nbsp;so our anti-virus and backups are centrally managed.  However, when he leaves for college that won't be an option for him.  I wanted something that was easy to use and didn't bog his laptop down.  Unfortunately, although OneCare is a good product, it just didn't fit the bill.

First off, let me say the product has a lot of nice features -- including automated backups, firewall, anti-virus and more rolled into one thing.  However, as I've learned in the past, sometimes rolling too many features into a product can give you a less than stellar offering.  It's hard to be the ""best"" in every category -- and I think this is where OneCare suffers.

I found the Firewall to be terribly annoying.  I prefer to leave software-based firewalls turned OFF because hardware-based firewalls are much more reliable.  When I did this I got not one, but two red icons in my task area on Windows XP that would not go away.  Unlike the built-in firewall with Windows XP/Vista, turning OneCare's firewall off does not give you the option to ignore the condition and remove the red icons.  In this way I felt the program was way too demanding to be wanting to do everything when all I wanted was a subset of its features.

Next, I noticed that the backup feature of OneCare and the backup feature of Windows Home Server was not integrating correctly.  The product states that it ""recognizes"" the backup feature of WHS, but I found out that two backups were trying to occur every night.  I searched around some and couldn't find any real documentation or options for fixing the problem.

The anti-virus feature worked well, and in fact seemed to run just a bit faster than my current anti-virus program, Avast.  Updates happened automatically and it was pretty much non-intrusive.  No complaints there.

There were other features that would be handy for novice users, such as cleaning up the temporary files that Windows and IE seem to leave around as well as a feature to scan your system for missed updates, etc.  Again, these are features a novice user might enjoy so they don't have to manage their computer as much.

However, my overall impression was that OneCare is ""good"" but just doesn't make it into the ""great"" category.  I'd say if you have one or two PC's without a home network then this program will work for you just fine.  If you are a more tech-savy computer user then you'll probably find yourself fighting the program more than getting a lot of value out of it."
